chinese,english,part,part2,prefix,audio
一些,a few,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_1.mp3
一些,a little,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_2.mp3
許多,a lot,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_3.mp3
能夠…的,able,adj,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_4.mp3
在…上方,above,prep,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_5.mp3
在國外,abroad,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_6.mp3
在…對面,across,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_7.mp3
女演員,actress,n,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_8.mp3
以前,ago,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_9.mp3
同意,agree,v,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_10.mp3
在前方,ahead,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_11.mp3
幾乎,almost,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_12.mp3
沿著,along,prep,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_13.mp3
已經,already,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_14.mp3
也,also,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_15.mp3
總是,always,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_16.mp3
美國,America,n,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_17.mp3
"美國人,美國的",American,n,adj,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_18.mp3
生氣的,angry,adj,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_19.mp3
另一個的,another,adj,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_20.mp3
任何的,any,adj,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_21.mp3
任何人,anyone,pron,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_22.mp3
任何事物,anything,pron,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_23.mp3
公寓,apartment,n,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_24.mp3
出現,appear,v,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_25.mp3
在…四周,around,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_26.mp3
到達,arrive,v,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_27.mp3
與…一樣,as,adv,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_28.mp3
八月,August,n,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_29.mp3
秋天,autumn,n,,a,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_30.mp3
羽毛球,badminton,n,,b,https://dlms.iiiedu.org.tw/eng/listening/L3_voc/L3_voc_31.mp3
